"Time (s) Run #9","Geiger Counts (counts/sample) Run #9"
5.000,88
10.000,92
15.000,73
20.000,100
25.000,80
30.000,104
35.000,96
40.000,80
45.000,94
50.000,88
55.000,100
60.000,103
65.000,104
70.000,93
75.000,92
80.000,103
85.000,106
90.000,99
95.000,74
100.000,86
105.000,92
110.000,90
115.000,85
120.000,82
125.000,100
130.000,80
135.000,88
140.000,87
145.000,95
150.000,106
155.000,112
160.000,92
165.000,82
170.000,97
175.000,93
180.000,80
185.000,92
190.000,90
195.000,85
200.000,74
205.000,107
210.000,81
215.000,88
