"Time (s) Run #16","Geiger Counts (counts/sample) Run #16"
0.500,11
1.000,12
1.500,14
2.000,11
2.500,8
3.000,3
3.500,12
4.000,4
4.500,8
5.000,7
5.500,7
6.000,9
6.500,14
7.000,10
7.500,6
8.000,9
8.500,7
9.000,9
9.500,9
10.000,10
10.500,6
11.000,5
11.500,14
12.000,6
12.500,8
13.000,8
13.500,12
14.000,15
14.500,13
15.000,9
15.500,9
16.000,10
16.500,9
17.000,9
17.500,9
18.000,11
18.500,17
19.000,10
19.500,6
20.000,8
20.500,11
21.000,10
21.500,4
22.000,9
22.500,18
23.000,11
23.500,10
24.000,3
24.500,8
25.000,9
25.500,12
26.000,11
26.500,8
27.000,9
27.500,6
28.000,8
28.500,9
29.000,10
29.500,12
30.000,6
30.500,8
31.000,12
31.500,8
32.000,3
32.500,4
33.000,13
33.500,15
34.000,9
34.500,9
35.000,10
35.500,8
36.000,7
36.500,13
37.000,11
37.500,8
38.000,10
38.500,2
39.000,11
39.500,10
40.000,8
40.500,8
41.000,10
41.500,11
42.000,8
42.500,7
43.000,7
43.500,7
44.000,7
44.500,12
45.000,7
45.500,6
46.000,9
46.500,11
47.000,9
47.500,8
48.000,12
48.500,10
49.000,17
49.500,7
50.000,7
50.500,13
51.000,6
51.500,8
52.000,8
52.500,8
