"Time (s) Run #10","Geiger Counts (counts/sample) Run #10"
1.000,17
2.000,32
3.000,23
4.000,28
5.000,23
6.000,25
7.000,21
8.000,27
9.000,22
10.000,20
11.000,35
12.000,22
13.000,25
14.000,27
15.000,27
16.000,25
17.000,26
18.000,26
19.000,26
20.000,12
21.000,17
22.000,29
23.000,23
24.000,32
25.000,31
26.000,32
27.000,29
28.000,17
29.000,27
30.000,24
31.000,34
32.000,27
33.000,23
34.000,34
35.000,29
36.000,30
37.000,30
38.000,25
39.000,28
40.000,27
41.000,19
42.000,24
43.000,20
44.000,21
45.000,22
46.000,19
47.000,27
48.000,26
49.000,27
50.000,28
51.000,21
52.000,26
53.000,26
54.000,27
55.000,25
56.000,23
57.000,24
58.000,28
59.000,27
60.000,30
61.000,28
62.000,33
63.000,26
64.000,27
65.000,26
66.000,19
67.000,25
68.000,19
69.000,24
70.000,29
71.000,27
72.000,19
73.000,21
74.000,32
75.000,25
76.000,27
77.000,31
78.000,29
79.000,22
80.000,32
81.000,18
82.000,21
83.000,24
84.000,27
85.000,31
86.000,32
87.000,25
88.000,24
89.000,25
90.000,25
91.000,28
92.000,24
93.000,32
94.000,41
95.000,28
96.000,17
97.000,29
98.000,27
99.000,33
100.000,23
101.000,19
102.000,36
103.000,22
104.000,21
105.000,24
106.000,25
107.000,21
108.000,24
109.000,32
110.000,23
111.000,23
112.000,25
113.000,39
114.000,27
115.000,23
116.000,22
117.000,21
118.000,28
119.000,31
120.000,25
