"Time (s) Run #14","Geiger Counts (counts/sample) Run #14"
1.000,2
2.000,1
3.000,1
4.000,3
5.000,3
6.000,2
7.000,2
8.000,0
9.000,3
10.000,2
11.000,4
12.000,4
13.000,2
14.000,1
15.000,2
16.000,3
17.000,2
18.000,2
19.000,1
20.000,3
21.000,3
22.000,2
23.000,2
24.000,1
25.000,4
26.000,1
27.000,3
28.000,4
29.000,2
30.000,0
31.000,3
32.000,4
33.000,2
34.000,2
35.000,0
36.000,3
37.000,2
38.000,4
39.000,2
40.000,1
41.000,3
42.000,0
43.000,1
44.000,1
45.000,4
46.000,1
47.000,4
48.000,1
49.000,3
50.000,3
51.000,3
52.000,0
53.000,2
54.000,2
55.000,5
56.000,3
57.000,1
58.000,4
59.000,1
60.000,3
61.000,2
62.000,2
63.000,1
64.000,3
65.000,3
66.000,2
67.000,3
68.000,4
69.000,3
70.000,1
71.000,2
72.000,3
73.000,5
74.000,2
75.000,4
76.000,5
77.000,1
78.000,3
79.000,2
80.000,0
81.000,3
82.000,2
83.000,2
84.000,4
85.000,3
86.000,3
87.000,0
88.000,5
89.000,1
90.000,0
91.000,5
92.000,2
93.000,3
94.000,2
95.000,1
96.000,2
97.000,3
98.000,5
99.000,3
100.000,1
101.000,2
102.000,1
103.000,1
104.000,2
105.000,5
106.000,4
107.000,2
108.000,2
109.000,1
110.000,1
111.000,3
112.000,3
113.000,3
114.000,4
115.000,3
116.000,1
117.000,2
118.000,5
119.000,2
120.000,1
