"Time (s) Run #13","Geiger Counts (counts/sample) Run #13"
1.000,1
2.000,1
3.000,7
4.000,3
5.000,3
6.000,5
7.000,1
8.000,6
9.000,7
10.000,3
11.000,4
12.000,3
13.000,4
14.000,4
15.000,5
16.000,2
17.000,3
18.000,5
19.000,4
20.000,2
21.000,3
22.000,5
23.000,3
24.000,8
25.000,4
26.000,7
27.000,3
28.000,3
29.000,3
30.000,3
31.000,2
32.000,4
33.000,5
34.000,3
35.000,1
36.000,3
37.000,2
38.000,1
39.000,5
40.000,1
41.000,4
42.000,4
43.000,3
44.000,2
45.000,0
46.000,4
47.000,2
48.000,3
49.000,6
50.000,4
51.000,3
52.000,4
53.000,3
54.000,3
55.000,3
56.000,8
57.000,1
58.000,2
59.000,2
60.000,5
61.000,1
62.000,3
63.000,3
64.000,3
65.000,5
66.000,6
67.000,4
68.000,3
69.000,3
70.000,2
71.000,2
72.000,3
73.000,3
74.000,6
75.000,7
76.000,5
77.000,4
78.000,4
79.000,3
80.000,4
81.000,7
82.000,3
83.000,1
84.000,7
85.000,4
86.000,6
87.000,6
88.000,4
89.000,5
90.000,2
91.000,1
92.000,4
93.000,2
94.000,4
95.000,2
96.000,3
97.000,5
98.000,2
99.000,12
100.000,5
101.000,4
102.000,2
103.000,3
104.000,1
105.000,2
106.000,3
107.000,3
108.000,8
109.000,4
110.000,2
111.000,3
112.000,6
113.000,5
114.000,5
115.000,1
116.000,5
117.000,2
118.000,3
119.000,5
120.000,2
121.000,5
122.000,5
