"Time (s) Run #11","Geiger Counts (counts/sample) Run #11"
1.000,13
2.000,13
3.000,13
4.000,15
5.000,11
6.000,11
7.000,13
8.000,17
9.000,8
10.000,8
11.000,6
12.000,11
13.000,12
14.000,8
15.000,13
16.000,12
17.000,7
18.000,12
19.000,9
20.000,13
21.000,7
22.000,3
23.000,8
24.000,14
25.000,8
26.000,12
27.000,12
28.000,14
29.000,8
30.000,11
31.000,7
32.000,5
33.000,16
34.000,8
35.000,9
36.000,9
37.000,10
38.000,11
39.000,14
40.000,13
41.000,13
42.000,9
43.000,10
44.000,8
45.000,18
46.000,10
47.000,12
48.000,13
49.000,14
50.000,8
51.000,13
52.000,10
53.000,18
54.000,8
55.000,8
56.000,15
57.000,11
58.000,11
59.000,20
60.000,13
61.000,15
62.000,11
63.000,14
64.000,10
65.000,14
66.000,15
67.000,11
68.000,10
69.000,10
70.000,11
71.000,14
72.000,9
73.000,10
74.000,12
75.000,17
76.000,11
77.000,6
78.000,5
79.000,9
80.000,8
81.000,8
82.000,14
83.000,11
84.000,11
85.000,13
86.000,10
87.000,16
88.000,9
89.000,17
90.000,13
91.000,10
92.000,17
93.000,10
94.000,15
95.000,12
96.000,13
97.000,6
98.000,12
99.000,13
100.000,13
101.000,6
102.000,10
103.000,9
104.000,10
105.000,13
106.000,3
107.000,11
108.000,16
109.000,14
110.000,9
111.000,8
112.000,18
113.000,18
114.000,7
115.000,9
116.000,16
117.000,8
118.000,9
119.000,7
120.000,9
